,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
25,72.0,8.0,13.0,6.04,4.79,4.5,1.96,1.87,0.87,3.92,1.17,2.5,1.71,5.0,1.0
26,68.0,4.0,26.0,17.83,14.71,16.83,12.83,19.0,13.88,12.62,11.67,13.83,14.17,18.54,0.0
27,72.0,8.0,16.0,8.29,7.46,10.29,5.04,8.75,7.29,11.54,10.88,10.41,8.63,18.91,0.0
28,71.0,3.0,21.0,12.62,7.0,20.88,8.38,7.67,5.17,12.12,7.12,8.29,7.75,9.71,0.0
29,63.0,9.0,11.0,6.79,3.04,5.46,2.96,5.71,1.71,2.54,1.75,3.67,3.04,5.17,1.0
30,70.0,9.0,18.0,3.83,3.92,8.5,1.42,4.08,2.33,0.54,1.17,2.5,2.25,7.58,1.0
31,74.0,2.0,12.0,10.25,8.67,8.12,2.67,9.33,5.25,8.92,7.12,8.54,8.17,9.25,0.0
32,65.0,3.0,20.0,9.59,10.96,11.75,6.71,13.75,6.0,12.58,15.63,10.58,13.21,19.12,0.0
33,73.0,4.0,4.0,19.62,18.84,20.41,11.67,18.34,14.79,21.54,15.67,18.91,16.83,22.42,0.0
34,69.0,8.0,7.0,12.17,17.62,11.38,8.25,16.25,9.79,8.21,8.54,10.92,11.25,16.88,0.0
35,63.0,2.0,26.0,22.83,22.21,20.67,14.17,22.63,16.88,19.25,19.7,15.04,15.12,27.42,0.0
36,62.0,9.0,26.0,12.0,6.63,12.54,6.75,8.17,4.5,12.0,4.67,8.71,9.0,5.33,0.0
37,62.0,7.0,6.0,8.04,4.29,6.13,3.17,4.12,2.58,5.46,2.25,4.71,5.17,5.96,1.0
38,66.0,12.0,9.0,21.25,21.0,14.62,17.37,23.91,17.33,23.75,21.0,19.33,11.92,25.33,0.0
39,75.0,10.0,15.0,16.21,12.17,12.58,5.0,10.37,6.13,6.96,6.46,7.75,5.13,7.17,1.0
40,65.0,10.0,22.0,10.25,12.25,12.04,7.87,12.33,8.83,8.96,10.0,8.87,9.29,12.5,0.0
41,65.0,9.0,22.0,10.13,7.92,12.12,4.67,8.79,6.54,8.25,7.5,5.91,8.46,13.5,1.0
42,77.0,7.0,26.0,12.79,7.92,8.21,5.71,11.42,7.33,11.58,6.46,7.79,8.08,10.63,0.0
43,68.0,11.0,19.0,16.46,16.08,13.75,8.12,15.87,12.71,9.08,13.79,10.46,10.54,16.17,0.0
44,69.0,12.0,25.0,12.83,12.58,8.46,4.17,5.41,4.67,6.21,5.41,5.17,3.92,13.88,1.0
45,62.0,10.0,14.0,3.04,1.63,3.37,1.0,3.0,0.37,4.88,0.46,1.04,5.04,6.08,1.0
46,76.0,2.0,29.0,10.41,10.79,11.08,5.96,8.58,6.21,11.71,10.58,10.34,10.17,17.16,0.0
47,76.0,9.0,30.0,8.79,8.5,9.38,3.13,6.75,4.83,5.25,3.83,7.83,3.37,6.71,1.0
48,67.0,9.0,1.0,10.71,9.33,9.92,6.29,11.0,7.5,8.87,9.04,7.79,6.71,12.92,1.0
49,74.0,1.0,20.0,18.79,16.21,15.63,9.33,13.59,8.42,7.25,11.04,12.71,12.0,21.84,0.0
50,70.0,5.0,21.0,21.84,13.42,13.46,10.92,18.96,13.25,17.37,12.75,16.92,16.29,16.25,0.0
51,63.0,3.0,31.0,7.41,9.83,8.0,5.13,8.87,7.04,6.83,9.62,6.87,8.96,17.5,0.0
52,78.0,12.0,23.0,16.62,13.29,22.21,9.5,14.29,13.08,16.5,17.16,12.71,12.0,18.5,0.0
53,64.0,9.0,29.0,4.04,3.13,5.37,2.08,4.79,2.29,5.88,4.63,4.67,7.71,6.75,1.0
54,64.0,7.0,16.0,6.79,9.46,7.0,5.46,9.96,6.08,4.29,6.21,4.75,6.42,13.88,1.0
55,64.0,7.0,27.0,10.37,9.75,11.63,7.33,16.92,11.54,15.09,13.0,12.75,12.42,19.75,0.0
56,66.0,1.0,6.0,19.7,16.29,17.5,13.17,13.13,11.87,10.96,14.25,10.0,16.13,22.13,0.0
57,72.0,11.0,13.0,8.46,8.63,8.08,3.92,5.46,4.25,10.17,5.5,8.33,5.46,8.12,0.0
58,68.0,11.0,26.0,4.12,3.96,7.25,0.96,6.87,2.37,4.04,6.13,3.96,5.33,13.13,0.0
59,65.0,2.0,25.0,11.17,8.71,10.83,4.12,7.0,1.63,4.79,2.79,3.29,1.87,4.21,1.0
60,69.0,5.0,22.0,12.75,8.54,8.58,2.67,8.58,4.71,3.25,4.12,3.63,4.21,5.96,1.0
61,74.0,11.0,8.0,13.59,12.58,12.21,6.42,10.41,6.67,11.21,9.83,10.58,8.83,12.96,0.0
62,71.0,5.0,5.0,16.21,19.46,12.38,7.83,16.5,13.13,7.21,12.38,11.96,10.46,14.33,0.0
63,61.0,4.0,28.0,5.58,6.5,2.54,1.87,4.21,1.54,2.67,1.38,2.54,2.71,5.13,1.0
64,77.0,1.0,21.0,15.29,10.88,15.34,9.42,12.54,13.04,14.79,10.71,14.67,18.75,11.83,0.0
65,74.0,4.0,18.0,7.21,4.0,15.41,3.71,5.21,3.29,2.25,3.0,3.21,1.67,6.63,1.0
66,69.0,8.0,31.0,4.17,7.08,13.5,4.54,6.67,4.71,4.12,4.67,4.75,6.17,7.12,1.0
67,74.0,2.0,2.0,18.58,20.58,14.54,10.63,18.84,10.71,15.09,13.04,13.29,10.46,19.21,0.0
68,63.0,7.0,2.0,5.21,1.13,5.96,4.33,5.88,4.12,5.09,8.46,8.0,8.71,9.79,0.0
69,72.0,7.0,2.0,9.0,10.08,8.63,5.21,9.42,7.04,9.04,5.88,8.54,7.21,9.17,1.0
70,70.0,9.0,20.0,6.0,8.46,8.17,3.04,3.58,3.33,4.08,7.87,5.13,7.04,14.0,1.0
71,66.0,3.0,7.0,18.54,13.37,17.79,9.96,14.09,12.08,16.04,11.34,10.29,14.29,19.29,0.0
72,74.0,4.0,25.0,4.75,4.08,14.54,3.67,5.37,1.79,4.79,5.25,2.58,3.21,3.75,1.0
73,62.0,4.0,22.0,9.96,14.83,9.59,7.38,12.46,7.92,8.58,8.79,7.46,7.71,11.63,1.0
74,74.0,3.0,11.0,9.17,6.58,14.79,5.25,7.87,6.38,11.38,11.58,7.79,8.08,10.79,0.0
75,76.0,2.0,12.0,18.63,19.95,15.21,11.87,19.0,11.63,17.41,15.34,15.12,12.21,17.79,0.0
76,66.0,9.0,21.0,5.71,1.83,11.17,0.75,3.37,1.21,1.83,1.17,2.08,3.08,5.25,1.0
77,75.0,6.0,4.0,11.83,12.71,10.54,4.96,8.87,4.83,3.75,6.96,8.04,5.79,14.12,1.0
78,68.0,12.0,23.0,8.17,7.71,6.17,3.21,7.0,2.88,9.25,4.38,6.87,7.0,9.62,0.0
79,61.0,4.0,3.0,15.29,8.63,15.67,4.12,10.25,9.04,5.5,8.54,7.58,4.96,11.08,1.0
80,73.0,10.0,23.0,4.92,5.71,4.46,0.67,4.88,3.42,3.88,6.08,3.25,6.63,12.33,1.0
81,71.0,1.0,31.0,19.29,14.29,25.29,10.96,10.58,7.5,13.79,10.75,11.21,11.63,18.38,0.0
82,69.0,5.0,11.0,8.04,9.83,12.12,3.67,8.21,3.92,2.29,8.0,3.96,4.5,14.88,1.0
83,76.0,1.0,24.0,19.92,17.25,19.08,8.96,10.0,8.08,13.29,8.5,12.38,12.46,22.13,0.0
84,69.0,2.0,16.0,13.59,8.38,12.87,3.46,9.54,1.21,4.58,2.79,2.75,4.08,5.88,1.0
85,69.0,2.0,23.0,11.12,13.67,9.87,6.34,11.58,8.0,8.25,10.41,8.96,10.5,12.25,0.0
86,71.0,5.0,30.0,8.87,8.46,10.13,4.17,10.04,4.63,4.88,7.58,5.5,5.75,10.71,1.0
87,74.0,5.0,9.0,18.25,14.79,18.66,10.0,12.12,10.21,18.58,13.46,14.0,15.12,12.08,0.0
88,78.0,3.0,10.0,9.21,14.0,11.75,6.71,9.59,8.83,4.63,9.67,8.42,5.66,12.17,1.0
89,77.0,10.0,26.0,20.04,18.05,15.25,8.83,13.79,12.42,13.0,14.67,13.96,14.09,28.75,0.0
90,67.0,5.0,22.0,24.83,20.96,21.54,15.41,21.17,13.62,16.83,11.29,14.96,15.46,15.87,0.0
91,65.0,2.0,7.0,9.21,7.21,13.67,7.29,7.17,3.33,9.38,6.83,6.08,8.38,7.92,1.0
92,72.0,2.0,25.0,7.79,6.87,10.54,4.88,9.04,6.63,7.5,6.29,8.25,6.96,9.46,0.0
93,65.0,2.0,15.0,2.92,2.79,8.38,3.63,1.92,1.58,8.33,1.17,5.17,6.08,4.42,1.0
94,61.0,2.0,25.0,18.84,16.42,17.41,10.21,16.13,11.38,13.08,12.21,12.33,12.5,16.04,1.0
95,77.0,8.0,17.0,13.67,10.58,27.88,10.0,10.75,10.63,19.17,8.12,11.34,10.46,13.13,1.0
96,63.0,9.0,26.0,19.58,17.92,16.66,13.75,24.13,17.96,23.04,22.58,18.88,16.96,26.12,0.0
97,66.0,5.0,10.0,16.29,15.09,14.67,11.42,13.21,11.87,10.5,13.25,11.75,14.42,23.16,0.0
98,71.0,5.0,28.0,8.25,9.67,9.25,3.92,10.67,5.33,8.5,6.58,6.83,6.83,9.29,1.0
99,67.0,11.0,20.0,2.92,1.63,6.34,1.5,5.83,1.21,0.58,2.67,1.08,1.29,5.91,1.0
100,75.0,2.0,24.0,11.38,15.29,9.13,5.91,10.71,8.21,6.34,10.71,10.54,7.29,12.54,1.0
101,61.0,10.0,10.0,14.46,13.25,11.46,9.42,13.17,11.04,11.75,12.38,11.12,15.21,20.46,0.0
102,65.0,10.0,6.0,5.96,4.96,2.54,2.21,3.67,1.83,0.42,2.17,1.42,1.87,2.79,1.0
103,67.0,9.0,12.0,15.0,10.21,18.46,8.12,10.34,6.67,8.58,10.04,6.46,7.46,10.88,1.0
104,65.0,3.0,15.0,18.58,20.71,16.62,10.37,19.7,13.54,15.92,14.62,13.13,15.83,22.13,0.0
105,78.0,4.0,25.0,13.25,11.04,14.83,4.58,10.46,9.21,13.0,11.96,11.25,9.0,18.05,0.0
106,63.0,11.0,11.0,26.92,22.04,22.67,19.5,27.04,19.12,18.29,15.67,16.21,18.63,14.17,1.0
107,66.0,3.0,27.0,32.13,23.29,21.87,24.17,30.09,23.0,28.62,23.79,24.87,24.58,31.71,0.0
108,65.0,10.0,17.0,3.67,7.12,3.58,0.75,3.42,3.37,4.96,4.46,4.17,6.42,6.71,1.0
109,75.0,1.0,8.0,10.71,11.0,8.75,5.83,11.46,7.17,10.63,11.17,10.71,6.96,16.21,0.0
110,68.0,10.0,28.0,18.29,12.87,15.0,7.96,13.37,8.79,9.29,11.87,11.34,14.04,16.38,0.0
111,75.0,11.0,3.0,9.75,12.46,8.25,4.79,12.33,5.88,11.67,8.58,9.54,8.75,20.08,0.0
112,70.0,3.0,17.0,17.25,16.66,13.08,10.79,19.38,14.62,22.04,18.08,20.71,15.54,20.67,0.0
113,63.0,6.0,23.0,15.59,14.0,14.83,7.96,15.04,10.75,11.87,13.0,9.83,12.71,17.96,0.0
114,63.0,11.0,2.0,7.08,4.88,6.46,2.83,5.17,1.67,6.0,4.83,4.54,5.0,7.58,1.0
115,66.0,5.0,18.0,10.0,11.54,10.41,5.21,12.83,8.42,9.17,8.71,7.79,6.92,16.46,0.0
116,73.0,9.0,19.0,6.04,3.58,7.75,3.71,3.0,2.75,6.29,3.67,4.79,4.04,7.21,1.0
117,73.0,6.0,29.0,18.05,16.5,16.21,8.46,12.92,11.58,13.21,13.88,12.0,13.21,19.21,0.0
118,78.0,12.0,2.0,13.7,12.71,14.29,5.13,9.21,8.04,12.33,6.34,9.21,11.21,9.59,0.0
119,66.0,2.0,27.0,21.34,17.79,19.92,14.17,21.09,14.88,23.63,16.96,17.96,21.87,24.25,0.0
120,70.0,4.0,17.0,11.5,12.96,14.42,7.5,12.87,11.12,11.75,12.96,11.08,12.67,21.04,0.0
121,78.0,3.0,17.0,9.54,7.0,10.41,3.29,5.21,3.83,6.5,6.54,5.17,4.63,5.13,1.0
122,75.0,12.0,18.0,10.67,2.5,9.87,1.79,3.04,0.67,10.0,2.13,4.75,3.42,6.92,1.0
123,75.0,11.0,17.0,22.75,19.12,23.16,13.0,13.0,7.75,14.0,10.41,11.08,11.46,18.96,0.0
124,75.0,12.0,13.0,13.62,7.0,18.5,4.08,3.71,1.5,9.5,1.96,6.63,4.67,6.79,1.0
125,61.0,3.0,21.0,9.54,10.58,15.63,7.29,7.54,7.71,8.17,6.58,8.58,10.5,9.38,1.0
126,61.0,5.0,20.0,6.21,7.46,10.13,4.83,7.33,5.66,4.71,7.58,7.0,8.67,10.41,1.0
127,76.0,12.0,14.0,15.92,14.29,12.71,4.08,11.29,8.54,5.33,6.58,7.67,7.83,7.5,1.0
128,77.0,9.0,13.0,3.88,4.42,4.29,1.54,2.79,2.83,4.58,2.88,3.92,3.92,9.21,1.0
129,62.0,10.0,4.0,21.5,16.75,18.88,12.54,17.41,13.92,11.54,15.5,13.79,16.0,25.84,0.0
130,74.0,1.0,28.0,19.92,17.5,18.58,12.58,18.91,12.58,20.41,15.54,19.04,23.75,25.96,0.0
131,70.0,2.0,4.0,9.79,12.46,10.21,4.54,8.54,4.96,5.63,4.79,3.67,1.17,8.0,1.0
132,64.0,4.0,19.0,7.71,4.54,4.83,2.33,6.58,2.42,4.75,3.88,1.38,5.83,7.87,1.0
133,75.0,9.0,19.0,14.37,17.08,11.83,5.71,13.0,9.29,8.25,13.25,11.54,11.17,18.91,0.0
134,64.0,2.0,19.0,16.04,12.17,16.58,8.67,15.87,9.29,16.38,14.25,8.96,10.83,14.17,0.0
135,76.0,8.0,13.0,8.25,3.29,9.08,1.92,3.5,1.5,2.42,0.87,3.96,1.71,4.54,1.0
136,73.0,11.0,28.0,16.46,17.04,10.37,8.17,16.88,8.33,7.5,10.25,9.38,7.25,15.63,1.0
137,66.0,6.0,23.0,6.71,6.83,10.17,5.09,9.0,5.88,8.92,4.38,6.83,6.54,7.54,1.0
138,76.0,1.0,22.0,20.58,19.7,15.67,10.71,20.12,14.29,21.67,18.54,20.17,18.71,22.83,0.0
139,71.0,3.0,17.0,16.17,14.79,11.96,7.79,14.0,9.13,11.21,9.33,8.87,5.83,10.37,1.0
140,74.0,8.0,23.0,13.79,12.46,14.09,6.71,10.37,8.21,9.59,11.75,11.21,11.67,16.88,0.0
141,70.0,4.0,7.0,11.92,9.29,11.17,4.5,7.17,6.17,8.0,8.54,7.92,10.04,12.5,0.0
142,66.0,7.0,14.0,14.25,9.46,10.54,8.46,12.62,8.54,10.08,8.08,10.13,9.92,13.79,1.0
143,78.0,1.0,23.0,15.75,12.12,14.37,9.29,14.42,10.21,13.5,11.92,13.96,11.5,12.42,0.0
144,74.0,4.0,11.0,7.41,14.17,10.75,4.04,10.54,4.79,8.63,12.46,8.67,8.96,16.5,0.0
145,65.0,5.0,21.0,19.87,16.13,18.79,12.79,17.33,11.96,12.62,13.88,12.54,16.62,21.12,0.0
146,63.0,5.0,2.0,18.0,13.75,11.83,12.0,16.5,12.54,15.37,13.96,12.75,12.87,15.83,0.0
147,64.0,6.0,4.0,19.04,16.71,15.75,13.37,17.62,11.38,15.5,12.62,13.0,15.25,13.0,0.0
148,76.0,10.0,22.0,9.62,5.09,8.79,2.83,7.92,5.5,6.04,3.75,6.79,6.67,8.79,0.0
149,61.0,10.0,14.0,3.71,6.13,4.38,4.63,7.29,4.92,2.96,4.88,3.13,5.71,13.0,1.0
150,76.0,8.0,11.0,6.25,6.96,6.21,3.04,5.83,3.96,4.71,5.37,4.38,4.83,14.0,1.0
151,62.0,5.0,12.0,16.25,12.62,15.41,10.79,12.5,9.25,10.46,12.08,10.92,13.0,12.29,1.0
152,63.0,3.0,14.0,25.84,17.25,24.71,20.5,16.33,14.54,13.92,16.25,15.87,18.91,19.58,1.0
153,74.0,8.0,10.0,16.92,12.46,11.46,6.79,12.12,7.25,11.38,10.54,9.38,9.17,13.04,0.0
154,72.0,9.0,6.0,8.54,4.88,8.67,3.0,4.79,2.67,5.96,4.33,4.67,4.63,11.29,1.0
155,78.0,4.0,10.0,17.12,14.17,16.04,8.96,10.96,7.96,11.79,10.46,9.83,10.71,16.79,0.0
156,70.0,9.0,1.0,12.96,13.79,12.92,7.58,12.75,9.04,11.38,9.59,12.17,10.46,16.17,0.0
157,72.0,9.0,29.0,15.92,14.88,11.71,7.5,10.54,9.25,8.33,11.92,9.13,10.13,24.54,0.0
158,61.0,9.0,28.0,15.59,8.67,14.71,7.87,11.29,7.75,9.13,6.21,8.71,9.5,7.79,1.0
159,78.0,1.0,25.0,8.25,10.25,7.58,2.75,10.29,4.67,8.33,6.46,6.25,5.04,10.79,1.0
160,75.0,11.0,18.0,9.21,7.33,9.96,2.17,8.0,3.08,11.54,5.91,6.75,5.66,10.67,0.0
161,76.0,9.0,4.0,8.92,4.04,5.88,3.79,3.0,5.37,8.08,3.21,7.25,6.04,7.54,1.0
162,65.0,10.0,16.0,4.54,6.92,5.66,1.46,4.25,3.71,5.29,6.96,2.46,7.17,15.12,1.0
163,76.0,2.0,11.0,16.88,18.46,10.67,8.5,16.79,7.17,17.12,12.67,13.29,10.83,21.87,0.0
164,67.0,8.0,27.0,4.17,2.5,6.0,2.13,4.12,1.13,4.71,3.13,3.92,3.13,4.54,1.0
165,67.0,9.0,24.0,18.66,16.54,14.71,9.71,14.54,10.92,11.0,15.04,10.79,12.42,20.33,0.0
166,68.0,4.0,25.0,13.54,18.34,10.04,10.5,17.08,12.67,5.66,12.87,10.41,11.46,16.92,0.0
167,71.0,11.0,20.0,18.75,18.91,15.34,9.87,19.67,12.96,13.13,12.21,13.33,9.04,20.67,0.0
168,77.0,5.0,22.0,11.38,9.25,18.63,6.17,5.17,9.21,8.08,5.04,7.12,4.04,8.08,1.0
169,73.0,3.0,25.0,18.58,14.37,12.38,9.5,15.34,9.5,13.75,12.5,13.42,11.54,16.79,0.0
170,78.0,6.0,27.0,10.25,7.71,10.04,5.54,11.12,8.46,10.79,9.83,8.96,7.62,14.09,0.0
171,73.0,9.0,16.0,11.5,7.46,13.59,5.79,6.25,6.25,6.04,7.04,7.67,6.21,10.83,1.0
172,64.0,4.0,1.0,11.38,11.21,23.0,8.25,12.71,7.71,12.04,11.34,7.04,10.34,12.21,1.0
173,66.0,10.0,20.0,5.41,6.63,4.21,1.25,6.42,2.75,8.5,3.33,3.88,5.79,7.79,1.0
174,74.0,10.0,19.0,13.21,13.08,7.08,5.83,11.0,5.29,11.71,8.21,7.92,5.29,15.96,0.0
175,68.0,10.0,9.0,17.29,15.09,15.0,8.67,12.5,7.87,8.17,11.08,9.38,12.04,17.37,0.0
176,71.0,7.0,2.0,5.75,10.34,6.42,4.42,10.79,4.58,3.37,6.17,5.37,7.04,15.12,1.0
177,74.0,12.0,23.0,27.54,23.54,24.0,18.88,24.87,17.54,17.75,22.42,25.0,23.58,25.04,0.0
178,76.0,2.0,10.0,14.46,19.75,11.25,7.54,13.92,7.41,15.16,11.96,13.04,11.21,23.16,0.0
179,71.0,7.0,19.0,9.79,3.04,7.41,2.67,7.21,2.71,7.38,4.04,5.66,4.5,5.79,1.0
180,74.0,3.0,9.0,10.41,10.13,16.54,4.96,8.63,5.71,11.46,9.83,8.83,6.75,10.58,0.0
181,61.0,7.0,24.0,7.0,4.63,6.42,2.83,4.96,2.92,3.58,4.17,2.21,4.92,9.25,1.0
182,73.0,4.0,3.0,14.62,13.83,12.58,7.46,10.46,9.46,12.21,10.5,10.08,10.54,18.58,0.0
183,65.0,12.0,15.0,14.21,11.5,15.21,7.96,9.62,8.71,8.54,10.17,8.54,13.62,20.08,1.0
184,72.0,4.0,20.0,8.38,3.54,14.04,3.88,5.54,3.54,6.29,3.42,5.66,3.92,4.63,1.0
185,65.0,4.0,14.0,10.34,10.96,10.96,7.54,15.83,10.08,12.46,10.75,10.79,11.12,15.71,0.0
186,72.0,3.0,2.0,20.17,13.62,16.92,7.38,12.62,8.12,10.88,6.96,9.87,10.92,13.88,0.0
187,72.0,12.0,21.0,1.79,2.21,3.96,0.37,1.71,0.92,2.08,2.25,0.71,0.92,6.17,1.0
188,78.0,11.0,16.0,17.58,18.12,14.54,9.21,17.88,11.21,17.67,12.29,14.12,12.25,23.58,0.0
189,63.0,7.0,10.0,9.04,7.83,6.21,5.04,8.96,4.88,8.17,7.08,6.79,7.71,8.0,1.0
190,64.0,6.0,29.0,10.29,6.42,8.12,5.21,9.38,5.37,8.92,6.63,8.29,10.63,12.42,0.0
191,72.0,8.0,12.0,15.96,9.17,10.41,6.92,8.08,9.59,9.92,7.41,10.58,12.12,10.71,0.0
192,76.0,9.0,12.0,17.33,13.17,22.21,8.96,11.25,8.54,12.33,6.04,10.46,10.58,11.46,0.0
193,61.0,12.0,12.0,15.46,14.88,14.67,6.63,15.46,12.96,16.83,13.46,12.38,13.54,18.34,0.0
194,62.0,4.0,1.0,14.33,12.25,11.87,10.37,14.92,11.0,19.79,11.67,14.09,15.46,16.62,0.0
195,63.0,12.0,18.0,11.67,10.46,15.12,5.54,7.29,3.75,7.5,5.17,4.79,4.96,7.25,1.0
196,78.0,8.0,18.0,17.16,18.25,13.92,12.0,16.75,12.58,9.92,13.33,15.87,15.09,21.79,0.0
197,69.0,5.0,5.0,6.46,8.08,2.29,1.67,6.79,0.29,2.83,1.96,2.0,5.04,4.88,1.0
198,77.0,11.0,18.0,11.34,4.38,11.75,4.17,6.42,4.83,11.38,6.83,7.38,6.96,12.62,0.0
199,76.0,5.0,6.0,5.66,3.5,12.46,1.54,2.25,1.92,5.66,3.5,7.92,6.75,10.17,1.0
200,61.0,12.0,7.0,17.96,15.83,12.17,4.5,13.59,8.04,8.87,8.04,5.09,5.75,12.21,1.0
201,76.0,4.0,15.0,14.71,10.13,15.96,6.29,8.38,4.83,8.79,4.96,8.63,8.08,9.5,1.0
202,67.0,2.0,28.0,19.25,22.54,14.71,16.17,24.37,16.75,23.04,17.16,18.16,18.46,27.29,0.0
203,69.0,9.0,15.0,5.58,3.63,14.12,3.08,6.0,4.71,6.92,7.29,7.33,4.38,7.38,1.0
204,78.0,9.0,26.0,13.7,14.83,10.41,7.71,14.29,9.62,16.58,12.29,12.29,11.42,18.79,0.0
205,75.0,4.0,7.0,21.84,15.83,15.0,11.58,16.0,10.92,17.71,14.04,15.71,20.54,20.91,0.0
206,67.0,11.0,15.0,18.84,13.08,12.96,10.21,12.5,8.63,14.58,14.42,12.33,12.46,21.79,0.0
207,65.0,5.0,24.0,10.71,10.08,10.34,5.0,12.0,6.25,8.96,3.54,3.96,6.75,5.17,1.0
208,68.0,1.0,18.0,14.54,14.71,13.75,8.75,17.96,10.21,16.42,12.5,14.17,11.04,20.79,0.0
209,74.0,12.0,20.0,26.54,23.0,22.75,13.88,16.04,12.17,17.46,17.5,16.88,15.25,21.5,0.0
210,74.0,7.0,4.0,14.5,11.08,12.83,6.13,11.34,6.46,8.21,8.67,8.0,2.79,11.04,1.0
211,65.0,5.0,3.0,9.54,11.17,11.38,4.92,9.79,7.17,7.46,5.13,4.21,6.42,8.67,1.0
212,61.0,6.0,21.0,8.54,9.5,10.37,6.63,11.5,7.33,10.54,9.83,9.54,10.17,14.71,1.0
213,68.0,3.0,21.0,9.92,10.75,5.33,4.96,11.92,5.83,7.67,7.0,4.5,6.83,10.58,1.0
214,71.0,11.0,6.0,15.83,12.17,12.46,6.75,11.29,7.46,9.54,7.25,9.83,10.25,15.54,0.0
215,67.0,9.0,30.0,16.54,16.17,14.83,9.33,18.16,11.25,17.83,14.62,14.29,12.67,23.67,0.0
216,61.0,1.0,12.0,19.75,12.08,18.5,10.54,10.29,9.46,15.54,11.5,10.37,14.58,15.59,1.0
217,67.0,4.0,13.0,6.29,5.54,15.79,6.42,8.42,2.62,8.71,3.37,3.83,4.21,5.46,1.0
218,74.0,1.0,8.0,19.75,17.37,16.29,11.75,16.62,10.13,13.33,11.87,14.33,14.67,23.38,0.0
219,75.0,9.0,27.0,19.75,15.04,18.41,9.25,13.92,10.58,14.12,11.21,12.21,13.13,12.62,0.0
220,73.0,9.0,11.0,10.92,11.08,6.5,2.79,8.79,2.54,4.88,4.5,3.96,3.21,6.08,1.0
221,62.0,10.0,27.0,15.16,15.41,12.92,8.25,17.0,11.12,15.63,15.67,14.04,15.67,24.83,0.0
222,65.0,4.0,4.0,14.25,14.21,13.04,8.04,12.96,8.29,11.34,10.88,6.75,11.34,15.83,1.0
223,70.0,3.0,19.0,12.17,8.92,11.71,5.91,9.54,8.04,12.25,10.34,11.29,7.71,15.75,0.0
